City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,prince rupert,54.3161,-130.3201,13.05,70,0,3.6,CA,1683683104
260,zouerate,22.7187,-12.4521,28.4,15,0,0.96,MR,1683683104
261,cartagena,10.3997,-75.5144,27.79,83,40,4.63,CO,1683683080
262,sao vicente,-23.9631,-46.3919,25.15,26,100,0.89,BR,1683683104
263,katsuura,35.1333,140.3,18.22,60,0,5.19,JP,1683683104
264,nelson bay,-32.7167,152.15,20.0,66,83,4.92,AU,1683683105
265,aral,40.5156,81.2636,19.49,10,1,3.01,CN,1683683105
266,ambon,-3.6954,128.1814,30.53,91,40,2.57,ID,1683683005
267,tanumah,27.1,44.1333,23.66,22,11,4.64,SA,1683683105
268,nanao,37.05,136.9667,23.5,43,1,1.7,JP,1683683106
269,colonia,50.9333,6.95,13.92,92,75,2.57,DE,1683682862
270,whangarei,-35.7317,174.3239,15.84,77,94,5.39,NZ,1683683106
271,el bosque,17.0667,-92.7333,18.23,71,60,1.82,MX,1683682837
272,xai-xai,-25.0519,33.6442,19.54,88,1,3.27,MZ,1683682844
273,kill devil hills,36.0307,-75.676,17.0,76,75,5.14,US,1683682810
274,kawm umbu,24.4767,32.9463,22.79,23,0,2.46,EG,1683683107
275,aquiraz,-3.9014,-38.3911,28.05,84,43,2.39,BR,1683683107
276,zambezi,-13.5432,23.1047,13.44,59,0,2.44,ZM,1683683107
277,sabang,5.8933,95.3214,28.75,68,92,5.11,ID,1683683107
278,posto fiscal rolim de moura,-13.0833,-62.2667,21.99,99,99,0.93,BR,1683683108
279,awjilah,29.1081,21.2869,21.9,41,90,4.24,LY,1683683108
280,kathu,7.9178,98.3332,30.39,99,100,2.78,TH,1683683108
281,turka,49.1541,23.0297,2.17,82,58,1.72,UA,1683683108
282,colusa,39.2143,-122.0094,23.01,41,7,0.88,US,1683683108
283,namtsy,62.7161,129.6658,7.0,51,100,7.53,RU,1683683109
284,poronaysk,49.2167,143.1167,4.56,64,100,0.84,RU,1683683109
285,finike,36.295,30.1406,18.08,74,96,0.23,TR,1683683109
286,guerrero negro,27.9769,-114.0611,15.69,77,0,9.27,MX,1683683109
287,gamba,-2.65,10.0,25.74,91,100,1.31,GA,1683683109
288,freetown,8.484,-13.2299,26.25,85,99,5.48,SL,1683683110
289,zeya,53.75,127.2667,10.93,54,70,0.56,RU,1683682985
290,luhansk,48.5671,39.3171,4.79,93,100,5.85,UA,1683682924
291,ponta delgada,37.7333,-25.6667,18.4,94,75,4.12,PT,1683683110
292,caleta de carquin,-11.0925,-77.6267,21.89,86,31,4.65,PE,1683682896
293,midelt,32.6852,-4.7451,19.73,34,0,1.77,MA,1683683110
294,vernon,50.2581,-119.2691,19.2,52,96,2.24,CA,1683683111
295,yarmouth,41.7057,-70.2286,10.01,77,0,1.79,US,1683683111
296,bikenibeu village,1.3673,173.1241,30.98,70,40,3.6,KI,1683683111
297,aoulef,26.9667,1.0833,25.59,19,99,4.23,DZ,1683682904
298,praya,14.9215,-23.5087,22.3,78,20,6.69,CV,1683682844
299,bubaque,11.2833,-15.8333,26.56,77,100,6.79,GW,1683683112
300,selizharovo,56.8519,33.4487,4.4,70,95,1.9,RU,1683683112
301,cartagena del chaira,1.3349,-74.8429,23.14,97,100,1.3,CO,1683683112
302,puerto carreno,6.189,-67.4859,25.31,89,100,1.73,CO,1683683112
303,yahyali,38.1023,35.357,11.01,73,51,1.08,TR,1683683113
304,callao,-12.0667,-77.15,21.51,78,100,5.14,PE,1683682686
305,galliano,29.4422,-90.2992,27.0,78,75,3.09,US,1683683113
306,plettenberg bay,-34.0527,23.3716,16.12,62,96,1.37,ZA,1683683113
307,bunia,1.5667,30.25,17.56,98,100,0.29,CD,1683683113
308,undurkhaan,47.3194,110.6556,14.44,57,100,5.64,MN,1683683114
309,lata,40.1629,-8.3327,13.37,88,100,1.43,PT,1683683114
310,bayanhongor,46.7167,100.1167,2.83,51,100,2.23,MN,1683683114
311,mili,6.0815,171.735,26.84,86,99,8.38,MH,1683683114
312,la libertad,-2.2333,-80.9,27.81,83,0,2.06,EC,1683683114
313,eastham,41.8301,-69.9739,9.43,83,0,1.54,US,1683683120
314,sandnessjoen,66.0217,12.6316,11.47,62,100,0.45,NO,1683683120
315,turpan,42.9333,89.1667,24.67,18,0,1.27,CN,1683683120
316,igarka,67.4667,86.5833,-11.58,85,69,2.01,RU,1683682838
317,zhangatas,43.5667,69.75,20.07,29,8,2.41,KZ,1683682950
318,guangyuan,32.442,105.823,14.49,83,100,3.32,CN,1683683121
319,la tuque,47.4334,-72.7824,9.14,29,0,0.51,CA,1683683121
320,riohacha,11.5444,-72.9072,27.79,78,100,4.26,CO,1683683121
321,achacachi,-16.05,-68.6833,5.31,75,40,1.89,BO,1683683121
322,belyy yar,53.6039,91.3903,7.94,81,40,5.0,RU,1683683121
323,pico truncado,-46.7949,-67.9573,4.79,55,6,4.69,AR,1683683127
324,dongola,19.1667,30.4833,24.66,17,100,4.25,SD,1683683127
325,erbaa,40.6689,36.5675,11.9,93,100,1.27,TR,1683683127
326,taulaga,-11.0553,-171.0883,28.7,76,10,6.5,AS,1683683127
327,lebanon,36.2081,-86.2911,23.12,77,100,3.6,US,1683683127
328,gizo,-8.103,156.8419,29.12,76,91,3.42,SB,1683683128
329,necochea,-38.5473,-58.7368,12.6,81,73,4.71,AR,1683683128
330,rexburg,43.826,-111.7897,13.73,26,0,4.63,US,1683683128
331,heilbron,-27.2812,27.9709,10.88,65,4,0.59,ZA,1683683128
332,togur,58.3631,82.8265,3.68,37,2,1.29,RU,1683682898
333,greeneville,36.1632,-82.831,21.08,73,0,3.6,US,1683683058
334,xichang,27.8964,102.2634,21.62,45,34,1.07,CN,1683683129
335,risod,19.9667,76.7833,30.91,47,100,3.86,IN,1683683129
336,korla,41.7597,86.1469,18.03,24,0,1.69,CN,1683683129
337,vanino,49.0869,140.2543,4.18,67,100,5.91,RU,1683683129
338,loei,17.4167,101.5,24.51,70,76,0.52,TH,1683683129
339,krasnotur'insk,59.7666,60.2086,5.0,56,40,3.51,RU,1683683117
340,lashio,22.9333,97.75,26.51,62,34,0.58,MM,1683683130
341,kamaishi,39.2667,141.8833,15.75,61,0,1.27,JP,1683683130
342,praia da vitoria,38.7333,-27.0667,18.75,94,75,6.49,PT,1683683130
343,lazaro cardenas,17.9583,-102.2,27.24,73,0,3.29,MX,1683683130
344,homestead meadows south,31.811,-106.1643,30.73,7,30,3.49,US,1683683131
345,keelung,25.1283,121.7419,26.7,62,20,3.61,TW,1683683131
346,sinabang,2.4803,96.3801,28.79,71,94,3.25,ID,1683682972
347,juegang,32.3174,121.1855,17.74,45,90,3.97,CN,1683683131
348,mossendjo,-2.9506,12.7261,21.39,99,73,0.34,CG,1683683131
349,kencong,-8.2833,113.3667,28.32,78,97,1.32,ID,1683683132
350,swift current,50.2834,-107.8014,14.45,58,0,1.54,CA,1683683132
351,kirensk,57.7853,108.1119,11.42,66,97,5.52,RU,1683682968
352,camayenne,9.535,-13.6878,28.05,78,75,3.09,GN,1683683132
353,nuuk,64.1835,-51.7216,-0.66,86,100,2.68,GL,1683682854
354,zhosaly,45.4878,64.0781,22.68,16,38,3.74,KZ,1683683133
355,slave lake,55.2834,-114.769,17.99,42,100,1.03,CA,1683682654
356,usogorsk,63.4106,48.6872,2.49,99,100,1.85,RU,1683683133
357,mitsamiouli,-11.3847,43.2844,26.4,71,1,2.21,KM,1683683133
358,wanning,18.8003,110.3967,28.11,82,82,3.33,CN,1683683133
359,kharp,66.8014,65.8081,-1.32,90,99,1.49,RU,1683683134
360,nabire,-3.3667,135.4833,27.57,84,96,0.24,ID,1683682978
361,orcopampa,-15.2661,-72.3417,6.64,74,95,1.65,PE,1683683134
